0,1,2,3,4,5,6,7,8
-------------------------------------------------------------------------,,,,,,,,
NSS version,new NSPR version (optional),new CA list version (optional),NSS/NSPR API freeze & branchingBeta,NSS/NSPR Releasefrom branch,keep mozilla-centralon this NSS/NSPR branchuntil FF Beta rollover,Firefox version,Firefox release date,Release Manager
,,,,,,,,
3.63,"bug 1693217: bug 1683738, bug 1686854, bug 1687822, bug 1692094, bug 1693173",88,91,TBD,,,,
3.60,"bug 1678189: bug 1670769, bug 1678166",85,91,TBD,,,,
3.57,"bug 1663049, bug 1651211, bug 1656077, bug 1653092",82,91,TBD,,,,
3.54,"bug 1618402, bug 1621151, bug 1639987, bug 1641716, bug 1641718, bug 1645174, bug 1645186, bug 1645199",79,91,TBD,,,,
3.53,"bug 1618404, bug 1621159",78,78,TBD,,,,
3.48,bug 1591178,72,78,TBD,,,,
3.46,"bug 1566569, bug 1574670",70,78,TBD,,,,
3.45,bug 1552374,69,78,TBD,,,,
3.43,"bug 1533087: bug 1515457, bug 1532753",67,68,TBD,,,,
3.41,"bug 1505899: bug 1496204, bug 1496214, bug 1499320, bug 1501457, bug 1505614",65,68,TBD,,,,
3.40,bug 1493822,64,68,TBD,,,,
3.39,"bug 1478638: bug 1462098, bug 1465625, bug 1478476, bug 1483924",63,68,TBD,,,,
3.37,"bug 1452695: bug 1432959, bug 1448506",61,68,TBD,,,,
3.35,"bug 1427977: bug 1410277, bug 1410544, bug 1413330, bug 1421810, bug 1421814",59,60,2.53,,,,
3.34.1,bug 1418678,58,60,2.53,,,,
3.34,"bug 1408080: bug 1367265, bug 1385063, bug 1387260, bug 1392849, bug 1392853, bug 1395726, bug 1400013, bug 1400021, bug 1400030, bug 1403549, bug 1410954",58,60,2.53,,,,
3.32,"bug 1380941: bug 1359515, bug 1366114, bug 1366243, bug 1366403, bug 1366412, bug 1380868",56,60,2.53,,,,
"3.28.5, 3.30.2","bug 1350859: bug 1268219, bug 1332059, bug 1335902, bug 1339294, bug 1342085, bug 1348132, bug 1349705",54,60,2.53,,,,
3.28.1,"bug 1296697: bug 1266574, bug 1272158, bug 1283326, bug 1299951, bug 1303377, bug 1307981, bug 1320783",51,52,2.48,,,,
3.27,"bug 1296689: bug 1250699, bug 1251025, bug 1286696, bug 1288250",51,52,2.48,,,,
3.26,bug 1290999: bug 1289889,50,52,2.47,,,,
3.25,"bug 1275533: bug 1256494, bug 1272161, bug 1274674",49,52,2.46,,,,
"3.23, 3.22.2","bug 1247990: bug 1157375, bug 1229094, bug 1229885, bug 1236962, bug 1237817, bug 1243869, bug 1247711",46,52,2.43,,,,
3.21,"bug 1214729: bug 1156844, bug 1190946, bug 1193476, bug 1204962, bug 1204997, bug 1205108, bug 1208461, bug 1213042, bug 1213086",44,45,2.41,,,,
3.19.3,"bug 1175227: bug 1147672, bug 1159294, bug 1160208, bug 1164606, bug 1165992, bug 1166025, bug 1169083",42,45,2.39,,,,
3.18,"bug 1132496: bug 1105374, bug 1108770, bug 1118020, bug 1118079, bug 1120604, bug 1131698",38,38,2.35,,,,
3.17.3,"bug 1088147: bug 986014, bug 1047011, bug 1062589, bug 1069627, bug 1083294",36,38,2.33,,,,
"3.16.3, 3.16.4","bug 1021967: bug 936304, bug 986005, bug 1013572, bug 1017262, bug 1017295, bug 1020729, bug 1021039, bug 1021054, bug 1045189, bug 1046343",32,38,2.30,,,,
3.16,"bug 957300: bug 847588, bug 915935, bug 919480, bug 925412, bug 935687, bug 938814",29,31,2.30,,,,
3.15.4,"bug 911960: bug 860929, bug 872279, bug 896546, bug 901605",27,31,2.30,,,,
3.15,"bug 857615: bug 768547, bug 799692, bug 810010, bug 823753, bug 823766, bug 845132, bug 856678, bug 856695, bug 856718",23,24,2.23,,,,
3.14,"bug 795355: bug 760297, bug 795020",18,24,2.16,,,,
3.13.6,"bug 757197: bug 718841, bug 722843, bug 742514, bug 742525, bug 751954, bug 752103, bug 752110, bug 760167",16,17,2.13,,,,
3.13.2,"bug 711829: bug 680979, bug 707995, bug 708009, bug 708016, bug 711594",11,17,2.8,,,,
3.13.1,bug 695833:  No root certificates implemented.,9.0,9.0,2.6,,,,
3.13,Not contained in an end-user release of any application.  Replaced by NSS 3.13.1.,n/a,n/a,n/a,,,,
3.12.11,"bug 671002: bug 645880, bug 653761, bug 661672, bug 666681, bug 670790",6.0.2,6.0.2,2.4,,,,
3.12.10,"bug 642129: bug 632461, bug 633546, bug 635385bug 622719: bug 605187, bug 617664",6.0,6.0,"2.3, 2.3.1",,,,
3.12.9,"bug 613394: bug 562395, bug 578491, bug 585518, bug 592939, bug 593063, bug 595013, bug 601718bug 585518, bug 592939",4.0,3.1.10,2.1,,,,
3.12.8,"bug 582575: bug 515462, bug 557904, bug 571932, bug 582375",3.6.12,3.1.6,2.1 Beta,,,,
3.12.7,"bug 530853, bug 554334",3.6.7,3.1.2,2.1 Alpha,,,,
3.12.6,"bug 542476: bug 529874, bug 532201, bug 532742, bug 539235, bug 541499, bug 542798bug 517234",3.6.2,3.0.4,2.0.4,,,,
3.12.5,"bug 496193, bug 499705, bug 499712, bug 509440, bug 515470, bug 515472, bug 517242",3.6,3.0.2,2.0.3,,,,
3.12.4,,3.5,3.0b3,2.0,,,,
3.12.1,,3.0.2,2.0.0.17,-,,,,
3.11.10,,3.0.2,2.0.0.17,-,,,,
3.11.9,,2,2,-,,,,
3.11.8,,2.0.0.5,2,-,,,,
3.10,,1,1,-,,,,
